Project	Role	TargetFramework	RepositoryCSharpFiles	ProjectReferences	PackageReferences	PackageReferenceUpdates	FriendAssemblies	CustomTargets	ProjectPath
XREngine.Runtime.AnimationIntegration	Destination	net10.0-windows7.0    	130	OscCore;XREngine.Animation;XREngine.Data;XREngine.Runtime.Core;XREngine.Runtime.Rendering					XREngine.Runtime.AnimationIntegration/XREngine.Runtime.AnimationIntegration.csproj
XREngine.Runtime.AudioIntegration	Destination	net10.0-windows7.0     	47	XREngine.Audio;XREngine.Data;XREngine.Runtime.Core;XREngine.Runtime.Rendering					XREngine.Runtime.AudioIntegration/XREngine.Runtime.AudioIntegration.csproj
XREngine.Runtime.InputIntegration	Destination	net10.0-windows7.0    	42	XREngine.Data;XREngine.Extensions;XREngine.Input;XREngine.Runtime.Core;XREngine.Runtime.Rendering					XREngine.Runtime.InputIntegration/XREngine.Runtime.InputIntegration.csproj
XREngine.Runtime.ModelAssetPipeline	Destination	net10.0-windows7.0    	104	XREngine.Animation;XREngine.Data;XREngine.Extensions;XREngine.Fbx;XREngine.Gltf;XREngine.Runtime.Core;XREngine.Runtime.Rendering	AssimpNetter;Magick.NET-Q16-HDRI-x64;Meshoptimizer.NET;System.IO.Hashing;YamlDotNet				XREngine.Runtime.ModelAssetPipeline/XREngine.Runtime.ModelAssetPipeline.csproj
XREngine.Runtime.ModelingIntegration	Destination	net10.0-windows7.0    	8	XREngine.Data;XREngine.Modeling;XREngine.Runtime.Rendering					XREngine.Runtime.ModelingIntegration/XREngine.Runtime.ModelingIntegration.csproj
XREngine.Runtime.Bootstrap	Destination;Consumer	net10.0-windows7.0     	156	XREngine.Animation;XREngine.Audio;XREngine.Data;XREngine.Extensions;XREngine.Input;XREngine.Runtime.AnimationIntegration;XREngine.Runtime.AudioIntegration;XREngine.Runtime.Core;XREngine.Runtime.InputIntegration;XREngine.Runtime.Rendering;XREngine.Runtime.Rendering.OpenGL;XREngine.Runtime.Rendering.Vulkan	Newtonsoft.Json		XREngine.UnitTests	GenerateAotFactoryRegistrations;InvalidateMissingAotFactoryRegistrationOutput;ValidateRendererBackendSelection	XREngine.Runtime.Bootstrap/XREngine.Runtime.Bootstrap.csproj
XREngine.Editor	Destination;Consumer	net10.0-windows7.0    	461	XREngine.AgentOrchestration;XREngine.Animation;XREngine.Audio;XREngine.ControlPlane;XREngine.Data;XREngine.Extensions;XREngine.Input;XREngine.Modeling;XREngine.Profiler.UI;XREngine.Runtime.AnimationIntegration;XREngine.Runtime.AudioIntegration;XREngine.Runtime.Automation;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.InputIntegration;XREngine.Runtime.ModelAssetPipeline;XREngine.Runtime.ModelingIntegration;XREngine.Runtime.Rendering	FFmpeg.AutoGen;Google.Cloud.Speech.V1;Google.Cloud.TextToSpeech.V1;MathNet.Numerics;MathNet.Numerics.Providers.CUDA;MemoryPack;Meshoptimizer.NET;Microsoft.Build;Microsoft.Build.Framework;NDILibDotNetCoreBase;Newtonsoft.Json;SharpCompress;Silk.NET;Silk.NET.Core;Silk.NET.Core.Win32Extras;Silk.NET.GLFW;Silk.NET.Input;Silk.NET.Input.Common;Silk.NET.Input.Extensions;Silk.NET.Input.Glfw;Silk.NET.Input.Sdl;Silk.NET.OpenXR;Silk.NET.OpenXR.Extensions.EXT;Silk.NET.OpenXR.Extensions.HTC;Silk.NET.OpenXR.Extensions.HTCX;Silk.NET.OpenXR.Extensions.KHR;Silk.NET.OpenXR.Extensions.MSFT;Silk.NET.OpenXR.Extensions.VALVE;Silk.NET.SDL;Silk.NET.Windowing;Silk.NET.Windowing.Common;Silk.NET.Windowing.Extensions;Silk.NET.Windowing.Glfw;Silk.NET.Windowing.Sdl;Silk.NET.XInput;SPIRVCross.NET;Steamworks.NET;System.Security.Cryptography.ProtectedData;YamlDotNet				XREngine.Editor/XREngine.Editor.csproj
XREngine.Server	Consumer	net10.0-windows10.0.26100.0    	8	XREngine.Data;XREngine.Extensions;XREngine.Fbx;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.ModelAssetPipeline	MemoryPack;Microsoft.Data.Sqlite.Core;Newtonsoft.Json;Steamworks.NET;System.IdentityModel.Tokens.Jwt			RemoveHeadlessLocalDevicePublishCargo	XREngine.Server/XREngine.Server.csproj
XREngine.VRClient	Consumer	net10.0-windows7.0  	1	XREngine.Data;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.ModelAssetPipeline;XREngine.Runtime.Rendering	NDILibDotNetCoreBase				XREngine.VRClient/XREngine.VRClient.csproj
XREngine.UnitTests	Consumer	net10.0-windows7.0	560	LocalAgentBroker;XREngine.AgentOrchestration;XREngine.Animation;XREngine.Audio;XREngine.ControlPlane;XREngine.Data;XREngine.Editor;XREngine.Extensions;XREngine.Fbx;XREngine.Gltf;XREngine.Input;XREngine.Modeling;XREngine.Runtime.AnimationIntegration;XREngine.Runtime.AudioIntegration;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.InputIntegration;XREngine.Runtime.ModelAssetPipeline;XREngine.Runtime.ModelingIntegration;XREngine.Runtime.Rendering;XREngine.Runtime.Rendering.OpenGL;XREngine.Runtime.Rendering.Vulkan	Magick.NET-Q16-HDRI-x64;Meshoptimizer.NET;Microsoft.NET.Test.Sdk;NUnit;NUnit3TestAdapter;Shouldly;Silk.NET.Core;Silk.NET.Maths;Silk.NET.OpenAL;Silk.NET.OpenGL;Silk.NET.Windowing				XREngine.UnitTests/XREngine.UnitTests.csproj
XREngine.Benchmarks	Consumer	net10.0-windows7.0 	54	XREngine.Data;XREngine.Fbx;XREngine.Gltf;XREngine.Runtime.AnimationIntegration;XREngine.Runtime.Core;XREngine.Runtime.ModelAssetPipeline;XREngine.Runtime.Rendering;XREngine.Runtime.Rendering.OpenGL	BenchmarkDotNet;Silk.NET.OpenGL;Silk.NET.Windowing				XREngine.Benchmarks/XREngine.Benchmarks.csproj
Samples/MonkeyBallVR	Consumer	net10.0-windows7.0   	16	XREngine.Data;XREngine.Extensions;XREngine.Input;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.InputIntegration;XREngine.Runtime.Rendering				BuildEditorAutomation;BuildGameLauncher;CompileGameManagedCode;CookGameExe;GenerateGameProject;ShowResolvedBuildProfile	Samples/MonkeyBallVR/MonkeyBallVR.csproj
