LegacyTypeIdentity	StableFullName	CurrentAssembly	CurrentTypeIdentity	MigrationPolicy
XREngine.Rendering.UI.IMenu, XREngine	XREngine.Rendering.UI.IMenu	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IMenu, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.IMenuDivider, XREngine	XREngine.Rendering.UI.IMenuDivider	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IMenuDivider, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.IMenuItem, XREngine	XREngine.Rendering.UI.IMenuItem	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IMenuItem, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.IMenuOption, XREngine	XREngine.Rendering.UI.IMenuOption	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IMenuOption, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.IUICanvasInputSource, XREngine	XREngine.Rendering.UI.IUICanvasInputSource	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IUICanvasInputSource, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.IUIScrollReceiver, XREngine	XREngine.Rendering.UI.IUIScrollReceiver	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IUIScrollReceiver, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.IWebRendererBackend, XREngine	XREngine.Rendering.UI.IWebRendererBackend	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IWebRendererBackend, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.MenuComponent, XREngine	XREngine.Rendering.UI.MenuComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.MenuComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.MenuDivider, XREngine	XREngine.Rendering.UI.MenuDivider	XREngine.Runtime.Rendering	XREngine.Rendering.UI.MenuDivider, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.MenuItemComponent, XREngine	XREngine.Rendering.UI.MenuItemComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.MenuItemComponent, XREngine.Runtime.Rendering	StableFullNameFallback
