ConsumerProject	AssemblyPath	ReferencesFacadeAssembly	FacadeTypeReferenceCount	FacadeMemberReferenceCount	FacadeTypeReferences	FacadeMemberReferences	MigrationStatus	ReplacementProjectReferences	ProjectPath
XREngine.Runtime.Bootstrap	XREngine.Runtime.Bootstrap/bin/renderer-All/Debug/net10.0-windows7.0/XREngine.Runtime.Bootstrap.dll	False	0	0			Migrated	XREngine.Animation;XREngine.Audio;XREngine.Data;XREngine.Extensions;XREngine.Input;XREngine.Runtime.AnimationIntegration;XREngine.Runtime.AudioIntegration;XREngine.Runtime.Core;XREngine.Runtime.InputIntegration;XREngine.Runtime.Rendering;XREngine.Runtime.Rendering.OpenGL;XREngine.Runtime.Rendering.Vulkan	XREngine.Runtime.Bootstrap/XREngine.Runtime.Bootstrap.csproj
XREngine.Editor	Build/Editor/Debug/AnyCPU/Debug/net10.0-windows7.0/XREngine.Editor.dll	False	0	0			Migrated	XREngine.AgentOrchestration;XREngine.Animation;XREngine.Audio;XREngine.ControlPlane;XREngine.Data;XREngine.Extensions;XREngine.Input;XREngine.Modeling;XREngine.Profiler.UI;XREngine.Runtime.AnimationIntegration;XREngine.Runtime.AudioIntegration;XREngine.Runtime.Automation;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.InputIntegration;XREngine.Runtime.ModelAssetPipeline;XREngine.Runtime.ModelingIntegration;XREngine.Runtime.Rendering	XREngine.Editor/XREngine.Editor.csproj
XREngine.Server	XREngine.Server/bin/Debug/net10.0-windows10.0.26100.0/XREngine.Server.dll	False	0	0			Migrated	XREngine.Data;XREngine.Extensions;XREngine.Fbx;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.ModelAssetPipeline	XREngine.Server/XREngine.Server.csproj
XREngine.VRClient	XREngine.VRClient/bin/Debug/net10.0-windows7.0/XREngine.VRClient.dll	False	0	0			Migrated	XREngine.Data;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.ModelAssetPipeline;XREngine.Runtime.Rendering	XREngine.VRClient/XREngine.VRClient.csproj
XREngine.UnitTests	XREngine.UnitTests/bin/Debug/net10.0-windows7.0/XREngine.UnitTests.dll	False	0	0			Migrated	LocalAgentBroker;XREngine.AgentOrchestration;XREngine.Animation;XREngine.Audio;XREngine.ControlPlane;XREngine.Data;XREngine.Editor;XREngine.Extensions;XREngine.Fbx;XREngine.Gltf;XREngine.Input;XREngine.Modeling;XREngine.Runtime.AnimationIntegration;XREngine.Runtime.AudioIntegration;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.InputIntegration;XREngine.Runtime.ModelAssetPipeline;XREngine.Runtime.ModelingIntegration;XREngine.Runtime.Rendering;XREngine.Runtime.Rendering.OpenGL;XREngine.Runtime.Rendering.Vulkan	XREngine.UnitTests/XREngine.UnitTests.csproj
XREngine.Benchmarks	XREngine.Benchmarks/bin/Debug/net10.0-windows7.0/XREngine.Benchmarks.dll	False	0	0			Migrated	XREngine.Data;XREngine.Fbx;XREngine.Gltf;XREngine.Runtime.AnimationIntegration;XREngine.Runtime.Core;XREngine.Runtime.ModelAssetPipeline;XREngine.Runtime.Rendering;XREngine.Runtime.Rendering.OpenGL	XREngine.Benchmarks/XREngine.Benchmarks.csproj
Samples/MonkeyBallVR	Samples/MonkeyBallVR/bin/Debug/net10.0-windows7.0/MonkeyBallVR.dll	False	0	0			Migrated	XREngine.Data;XREngine.Extensions;XREngine.Input;XREngine.Runtime.Bootstrap;XREngine.Runtime.Core;XREngine.Runtime.InputIntegration;XREngine.Runtime.Rendering	Samples/MonkeyBallVR/MonkeyBallVR.csproj
